Year,GDP,Consumption,Government,Investment,Exports,Imports,Net Exports,Population,Labor Force,Physical Capital,TFP,FDI (% of GDP),Human Capital
1960,59.71624931097,30.12825121689,7.42920426808,23.63846576237,1.88306000019,1.89058999987,-0.00752999968000001,667.07,,84.37,,,1.23
1961,50.05668595736,33.17479138308,7.15731701363,11.415559017780001,1.5056099997999999,1.4080900000799998,0.09751999972000003,660.33,,84.37,,,1.25
1962,47.20918641536,34.068443165169995,5.99030406502,7.42946101424,1.5053699998699999,1.12771999981,0.3776500000599998,665.77,,75.0,,,1.28
1963,50.70661452615,34.29185611069,6.86310749128,11.03470400425,1.66634999994,1.21066999999,0.4556799999500001,682.335,,65.62,,,1.3
1964,59.70812520386,36.13602842463,7.57367052034,14.537402056780001,1.9388600001099998,1.4811000000399999,0.45776000006999995,698.355,,75.0,,,1.32
1965,70.43600864243,38.650439575129994,8.30251902971,19.0891667997,2.2465999998400004,1.91642000009,0.33017999975000034,715.185,,75.0,,,1.35
1966,76.7200054919,41.47762884935,9.27484304834,23.36465578361,2.37059999984,2.18530000012,0.18529999972000022,735.4,,84.37,,,1.37
1967,72.88136488249,43.93110919653,7.94847749765,17.39138487186,2.1558800000300002,1.91986000011,0.23601999992000033,754.55,,75.0,,,1.39
1968,70.84627605147,43.73206857234,7.88288649119,17.665789279349998,2.11469999988,1.84522000001,0.26947999986999993,774.51,,75.0,,,1.41
1969,79.70561485477,45.80777793891,9.35681738104,19.93336422931,2.2143900002,1.7311900001199998,0.4832000000800001,796.025,,75.0,,,1.43
1970,92.60263489166,49.02086230085,10.15090001296,30.438001510270002,2.27422000001,2.20155999998,0.07266000002999995,818.315,,75.0,,,1.45
1971,99.80059379099,51.26311586317,11.82068435041,33.570752158270004,2.71041600019,2.2331270001,0.47728900008999986,841.105,,75.0,,,1.48
1972,113.68930802034,59.42809699136,13.653932601540001,35.52599338282,3.53721000006,2.91645000013,0.6207599999299998,862.03,,93.75,,,1.51
1973,138.54317045806,72.00605604861,15.90370389602,45.658319637519995,5.95927899997,5.25779099997,0.7014880000000003,881.94,,103.12,,,1.53
1974,144.18897082107,74.80468939227,17.37323269969,47.87967001801,7.21306699991,7.716197999909999,-0.5031309999999998,900.35,,103.12,,,1.56
1975,163.42953065964002,82.18524020833999,19.12774086029,57.25871040954,7.97456999994,8.35504999992,-0.38047999998000037,916.395,,112.5,,,1.59
1976,153.93926594777,81.82176402263,19.5069204575,51.13825562798,7.4406,7.3498090001400005,0.09079099985999939,930.685,,225.0,,,1.62
1977,174.93593307866,88.69520939293,21.93573258055,59.26647472337,8.27107000021,8.06039800024,0.21067199997000152,943.455,,225.0,,,1.65
1978,149.54075282927,71.50813008130001,19.289364280490002,56.23302613821,10.80114,12.2617,-1.4605599999999992,956.165,,262.5,,,1.68
1979,178.28059441304,87.56366193042999,24.566074182610002,64.71033464348001,13.96264,15.535283,-1.5726429999999993,969.005,,299.99,,0.0,1.71
1980,191.149211575,97.370124175,26.2830979,66.14755372917,19.40572,21.84271,-2.4369900000000015,981.235,,337.49,,0.03,1.74
1981,195.86638243254,104.26710392460001,25.820206821430002,64.5355238254,24.36997,22.21975,2.1502199999999974,993.885,,318.74,,0.14,1.76
1982,205.08969985878,109.4320318397,27.08869654962,65.58789607634,22.60012479504,17.78812479504,4.811999999999998,1008.63,,421.87,,0.21,1.78
1983,230.68674715326,123.40756058621001,32.19405857088,73.64873459386999,21.95630444943,19.38530444943,2.5710000000000015,1023.31,,421.87,,0.28,1.8
1984,259.94651095714,131.76954135713999,39.18208069643,89.36546731071,24.76430508071,24.71030508071,0.053999999999998494,1036.825,,393.74,,0.48,1.83
1985,309.48802813265,157.39601717687,43.99047013946,120.89873413264999,25.801403273810003,38.30240327381,-12.500999999999998,1051.04,,337.49,,0.54,1.85
1986,300.75810010725,153.43535101448998,41.66095961739,113.46701349565,26.20258069043,33.59258069043,-7.389999999999997,1066.79,,412.49,,0.62,1.87
1987,272.97297476457,135.59641442601,35.78301663453,101.87591573543,34.072853910090004,33.78185391009,0.2910000000000039,1084.035,,449.99,,0.85,1.89
1988,312.35363120782,154.98237358848002,39.03756511317,122.06251839506,44.923701330040004,48.984701330040004,-4.061,1101.63,,656.24,,1.02,1.91
1989,347.76805131174,177.69170362753,45.864562350199996,129.39992493927,41.190793490080004,46.11879349008,-4.927999999999997,1118.65,,703.11,,0.98,1.93
1990,360.85791256596997,180.40225932314002,49.280637183559996,123.26130035373,49.12975892008,38.46175892008,10.668,1135.185,639.912098,609.36,0.366,0.97,1.96
1991,383.37331808362,183.70159818815,53.67852749129,135.08680270035,55.54265916376,43.94165916376,11.600999999999999,1150.78,646.245556,609.36,0.3824,1.14,1.99
1992,426.91571271585997,193.28446583987,61.64945962323,166.80394376766,66.84740012559,61.849400125589995,4.998000000000005,1164.97,652.547071,843.74,0.3746,2.61,2.03
1993,444.73128243552003,195.66469168339,63.83112611422,192.49370699263,74.28032874969999,86.07232874969999,-11.792000000000002,1178.44,658.329022,1115.61,0.35,6.19,2.06
1994,564.32185452101,248.79719029794,79.51992693134,226.01251372735,104.60744519241,97.25044519833,7.356999994079999,1191.835,664.565882,1049.98,0.4446,5.99,2.1
1995,734.48483457358,336.05740823384,97.74606661361,285.25716202412,131.85882600522,119.90082600353999,11.95800000168002,1204.855,671.238114,1274.98,0.5321,4.88,2.14
1996,863.7493147185401,404.66000862383004,113.99959911837,324.26635327017,154.81187700523,137.26187699922,17.55000000601001,1217.55,678.359927,1603.1,0.5703,4.65,2.17
1997,961.60198098462,441.3345160816,132.24562935466,341.58934910143,187.447040001,144.62381999506,42.823220005940016,1230.075,686.473251,1874.97,0.5906,4.73,2.21
1998,1029.06074762065,468.27742793236,153.80352920017,358.25393968661,188.75039418004002,144.91370469569,43.83668948435002,1241.935,694.001983,2362.46,0.5758,4.44,2.24
1999,1094.00387493734,505.49123643282,179.04129320810998,373.16153722103,198.69939963157,168.05844427264,30.64095535893,1252.735,700.421936,2559.33,0.5854,3.75,2.28
2000,1211.3316518660902,566.08384924378,203.96923050348002,406.68072063503,253.09208974229998,224.30623815607,28.785851586229967,1262.645,706.83795,2887.45,0.6135,3.48,2.31
2001,1339.40089710511,609.6927389868,219.84175390368,476.04446531066,272.06001051339,243.97379022379002,28.086220289599993,1271.85,715.928584,3299.94,0.6396,3.51,2.33
2002,1470.55765479995,660.47183646115,236.32485636932,531.65723003031,333.00231092176,295.61963965742,37.38267126433999,1280.4,725.93876,3712.44,0.6652,3.61,2.35
2003,1660.2805438467901,709.06904498554,254.25883777009,657.8053195968599,447.95825378090996,412.13712471021,35.82112907069995,1288.4,735.682023,4312.43,0.7061,3.49,2.36
2004,1955.34676872139,794.0840304122299,285.97615817995,818.25781944014,607.35693412225,556.18255158001,51.17438254223998,1296.075,744.93689,5174.91,0.7717,3.48,2.38
2005,2285.96114987985,904.94065966694,338.26881680315995,922.2973041072199,773.3390053985,648.71220787529,124.62679752321003,1303.72,754.465388,6093.65,0.8424,4.55,2.4
2006,2752.11865718402,1038.97927191508,407.87818460492997,1098.37987742552,991.73138776523,782.8124632561301,208.91892450909995,1311.02,761.948735,7612.37,0.9356,4.51,2.4
2007,3550.3278029984,1291.23738692128,519.29799538142,1437.2504528275401,1258.0567959359198,950.0207671555,308.03602878041977,1317.885,766.48694,10209.2,1.0871,4.4,2.41
2008,4594.33678573767,1621.24405871352,665.5179105452801,1941.98144784854,1497.86878293713,1149.03624979223,348.8325331449,1324.655,769.779554,13874.76,1.2629,3.73,2.42
2009,5101.69112428521,1802.28951966913,752.6512738061899,2313.9350576512998,1262.66416101728,1042.53375964807,220.13040136921018,1331.26,772.141043,16143.47,1.3269,2.57,2.43
2010,6087.19174667949,2089.5102017069,887.93991271248,2833.962406767,1654.82332966386,1432.42243597706,222.40089368679992,1337.705,773.873234,19349.67,1.4842,4.0,2.44
2011,7551.54570344075,2637.0321062218,1150.7698505028502,3523.56036986062,2006.30896097647,1825.4136392063701,180.89532177009983,1345.035,778.275581,25312.07,1.6591,3.71,2.48
2012,8532.18538168059,3019.2447588554,1344.33781698462,3944.0253537479703,2175.06925466385,1943.2052328671498,231.8640217967004,1354.19,779.022561,29736.99,1.7612,2.83,2.51
2013,9570.471111831679,3429.3994622934,1520.17515204758,4440.598042402559,2354.2645396092003,2119.39242142769,234.87211818151036,1363.24,779.251311,36336.88,1.8281,3.04,2.55
2014,10475.624944355199,3845.3817570271003,1656.93427499994,4800.34542553888,2462.8258048511602,2241.27619897927,221.54960587189044,1371.86,780.370287,42749.27,1.8839,2.56,2.57
2015,11061.572618578699,4178.28822954163,1793.95332264738,4782.4495347803895,2362.0970532746,2003.2606960686699,358.8363572059302,1379.86,781.077009,47464.81,1.9051,2.19,2.6
2016,11233.3137303487,4344.48205758225,1838.19200033471,4788.91631837746,2199.97485357014,1944.49053427523,255.48431929491016,1387.79,780.93288,51749.11,1.8704,1.56,2.62
2017,12310.4913339809,4744.8014329118305,2009.67074842926,5295.1482471401905,2424.2160520983502,2208.5189186322,215.69713346615026,1396.215,779.166682,59061.49,1.9495,1.35,2.65
2018,13894.9078578806,5352.5798031637805,2297.63533287777,6085.063022945889,2655.60917608745,2564.12191099489,91.48726509255994,1402.76,776.868988,72551.88,2.0483,1.69,2.67
2019,14279.9685062717,5604.61091159511,2394.82367650326,6176.2442644843895,2628.9411046576,2496.1533059029,132.78779875470036,1407.745,775.928449,78542.4,2.0366,1.31,2.7
2020,14687.744162801,5610.76415305719,2516.0301665307597,6369.58616339314,2729.88457516389,2374.73746277769,355.1471123862002,1411.1,763.830073,80984.87,2.0799,1.72,2.73
2021,17820.4595088522,6792.0124627402,2817.08290339162,7687.79952862277,3554.10778095744,3093.27839724918,460.8293837082597,1412.36,781.187865,84623.43,2.4321,1.93,2.76
2022,17881.7826837073,6686.32235750149,2870.04896418935,7715.31911106582,3717.88781864697,3140.04086353623,577.84695511074,1412.175,770.113477,88107.58,2.4134,1.06,2.79
2023,17794.783039552,6962.83599855054,2937.7961066731,7487.85813499947,3513.2368855270697,3127.20161605071,386.03526947635964,1410.71,774.60759,91190.06,2.3483,0.24,2.82
2024,,,,,,,,,773.128536,94870.69,,,2.85
2025,,,,,,,,,,98699.88,,,2.88
