Year,GDP,Consumption,Government,Investment,Exports,Imports,Net Exports,Tax Revenue (bn USD),Openness Ratio,Saving (bn USD),Private Saving (bn USD),Public Saving (bn USD),Saving Rate,Population,Labor Force,Physical Capital,TFP,FDI (% of GDP),Tax Revenue (% of GDP),Human Capital
1960,59.7162,30.1283,7.4292,23.6385,1.8831,1.8906,-0.0075,nan,0.0632,22.1588,nan,nan,0.3711,667.07,nan,84.37,nan,nan,nan,1.23
1961,50.0567,33.1748,7.1573,11.4156,1.5056,1.4081,0.0975,nan,0.0582,9.7246,nan,nan,0.1943,660.33,nan,84.37,nan,nan,nan,1.25
1962,47.2092,34.0684,5.9903,7.4295,1.5054,1.1277,0.3777,nan,0.0558,7.1504,nan,nan,0.1515,665.77,nan,75,nan,nan,nan,1.28
1963,50.7066,34.2919,6.8631,11.0347,1.6663,1.2107,0.4557,nan,0.0567,9.5517,nan,nan,0.1884,682.34,nan,65.62,nan,nan,nan,1.3
1964,59.7081,36.136,7.5737,14.5374,1.9389,1.4811,0.4578,nan,0.0573,15.9984,nan,nan,0.2679,698.36,nan,75,nan,nan,nan,1.32
1965,70.436,38.6504,8.3025,19.0892,2.2466,1.9164,0.3302,nan,0.0591,23.4831,nan,nan,0.3334,715.18,nan,75,nan,nan,nan,1.35
1966,76.72,41.4776,9.2748,23.3647,2.3706,2.1853,0.1853,nan,0.0594,25.9675,nan,nan,0.3385,735.4,nan,84.37,nan,nan,nan,1.37
1967,72.8814,43.9311,7.9485,17.3914,2.1559,1.9199,0.236,nan,0.0559,21.0018,nan,nan,0.2882,754.55,nan,75,nan,nan,nan,1.39
1968,70.8463,43.7321,7.8829,17.6658,2.1147,1.8452,0.2695,nan,0.0559,19.2313,nan,nan,0.2715,774.51,nan,75,nan,nan,nan,1.41
1969,79.7056,45.8078,9.3568,19.9334,2.2144,1.7312,0.4832,nan,0.0495,24.541,nan,nan,0.3079,796.02,nan,75,nan,nan,nan,1.43
1970,92.6026,49.0209,10.1509,30.438,2.2742,2.2016,0.0727,nan,0.0483,33.4309,nan,nan,0.361,818.32,nan,75,nan,nan,nan,1.45
1971,99.8006,51.2631,11.8207,33.5708,2.7104,2.2331,0.4773,nan,0.0495,36.7168,nan,nan,0.3679,841.11,nan,75,nan,nan,nan,1.48
1972,113.6893,59.4281,13.6539,35.526,3.5372,2.9165,0.6208,nan,0.0568,40.6073,nan,nan,0.3572,862.03,nan,93.75,nan,nan,nan,1.51
1973,138.5432,72.0061,15.9037,45.6583,5.9593,5.2578,0.7015,nan,0.081,50.6334,nan,nan,0.3655,881.94,nan,103.12,nan,nan,nan,1.53
1974,144.189,74.8047,17.3732,47.8797,7.2131,7.7162,-0.5031,nan,0.1035,52.011,nan,nan,0.3607,900.35,nan,103.12,nan,nan,nan,1.56
1975,163.4295,82.1852,19.1277,57.2587,7.9746,8.355,-0.3805,nan,0.0999,62.1165,nan,nan,0.3801,916.39,nan,112.5,nan,nan,nan,1.59
1976,153.9393,81.8218,19.5069,51.1383,7.4406,7.3498,0.0908,nan,0.0961,52.6106,nan,nan,0.3418,930.68,nan,225,nan,nan,nan,1.62
1977,174.9359,88.6952,21.9357,59.2665,8.2711,8.0604,0.2107,nan,0.0934,64.305,nan,nan,0.3676,943.46,nan,225,nan,nan,nan,1.65
1978,149.5408,71.5081,19.2894,56.233,10.8011,12.2617,-1.4606,nan,0.1542,58.7433,nan,nan,0.3928,956.16,nan,262.5,nan,nan,nan,1.68
1979,178.2806,87.5637,24.5661,64.7103,13.9626,15.5353,-1.5726,nan,0.1655,66.1509,nan,nan,0.371,969,nan,299.99,nan,0,nan,1.71
1980,191.1492,97.3701,26.2831,66.1476,19.4057,21.8427,-2.437,nan,0.2158,67.496,nan,nan,0.3531,981.24,nan,337.49,nan,0.03,nan,1.74
1981,195.8664,104.2671,25.8202,64.5355,24.37,22.2198,2.1502,nan,0.2379,65.7791,nan,nan,0.3358,993.88,nan,318.74,nan,0.14,nan,1.76
1982,205.0897,109.432,27.0887,65.5879,22.6001,17.7881,4.812,nan,0.1969,68.569,nan,nan,0.3343,1008.63,nan,421.87,nan,0.21,nan,1.78
1983,230.6867,123.4076,32.1941,73.6487,21.9563,19.3853,2.571,nan,0.1792,75.0851,nan,nan,0.3255,1023.31,nan,421.87,nan,0.28,nan,1.8
1984,259.9465,131.7695,39.1821,89.3655,24.7643,24.7103,0.054,nan,0.1903,88.9949,nan,nan,0.3424,1036.83,nan,393.74,nan,0.48,nan,1.83
1985,309.488,157.396,43.9905,120.8987,25.8014,38.3024,-12.501,nan,0.2071,108.1015,nan,nan,0.3493,1051.04,nan,337.49,nan,0.54,nan,1.85
1986,300.7581,153.4354,41.661,113.467,26.2026,33.5926,-7.39,nan,0.1988,105.6618,nan,nan,0.3513,1066.79,nan,412.49,nan,0.62,nan,1.87
1987,272.973,135.5964,35.783,101.8759,34.0729,33.7819,0.291,nan,0.2486,101.5935,nan,nan,0.3722,1084.04,nan,449.99,nan,0.85,nan,1.89
1988,312.3536,154.9824,39.0376,122.0625,44.9237,48.9847,-4.061,nan,0.3006,118.3337,nan,nan,0.3788,1101.63,nan,656.24,nan,1.02,nan,1.91
1989,347.7681,177.6917,45.8646,129.3999,41.1908,46.1188,-4.928,nan,0.2511,124.2118,nan,nan,0.3572,1118.65,nan,703.11,nan,0.98,nan,1.93
1990,360.8579,180.4023,49.2806,123.2613,49.1298,38.4618,10.668,nan,0.2427,131.175,nan,nan,0.3635,1135.18,639.91,609.36,0.366,0.97,nan,1.96
1991,383.3733,183.7016,53.6785,135.0868,55.5427,43.9417,11.601,59.4097,0.2595,145.9932,140.2621,5.7311,0.3808,1150.78,646.25,609.36,0.3824,1.14,15.5,1.99
1992,426.9157,193.2845,61.6495,166.8039,66.8474,61.8494,4.998,57.3462,0.3015,171.9818,176.2851,-4.3033,0.4028,1164.97,652.55,843.74,0.3746,2.61,13.43,2.03
1993,444.7313,195.6647,63.8311,192.4937,74.2803,86.0723,-11.792,55.784,0.3606,185.2355,193.2826,-8.0471,0.4165,1178.44,658.33,1115.61,0.35,6.19,12.54,2.06
1994,564.3219,248.7972,79.5199,226.0125,104.6074,97.2504,7.357,60.3324,0.3577,236.0047,255.1922,-19.1875,0.4182,1191.84,664.57,1049.98,0.4446,5.99,10.69,2.1
1995,734.4848,336.0574,97.7461,285.2572,131.8588,119.9008,11.958,74.4209,0.3428,300.6814,324.0066,-23.3252,0.4094,1204.86,671.24,1274.98,0.5321,4.88,10.13,2.14
1996,863.7493,404.66,113.9996,324.2664,154.8119,137.2619,17.55,88.585,0.3381,345.0897,370.5043,-25.4146,0.3995,1217.55,678.36,1603.1,0.5703,4.65,10.26,2.17
1997,961.602,441.3345,132.2456,341.5893,187.447,144.6238,42.8232,103.6809,0.3453,388.0218,416.5865,-28.5647,0.4035,1230.08,686.47,1874.97,0.5906,4.73,10.78,2.21
1998,1029.0607,468.2774,153.8035,358.2539,188.7504,144.9137,43.8367,118.5462,0.3242,406.9798,442.2371,-35.2573,0.3955,1241.93,694,2362.46,0.5758,4.44,11.52,2.24
1999,1094.0039,505.4912,179.0413,373.1615,198.6994,168.0584,30.641,137.349,0.3352,409.4713,451.1637,-41.6923,0.3743,1252.73,700.42,2559.33,0.5854,3.75,12.55,2.28
2000,1211.3317,566.0838,203.9692,406.6807,253.0921,224.3062,28.7859,160.615,0.3941,441.2786,484.6328,-43.3542,0.3643,1262.64,706.84,2887.45,0.6135,3.48,13.26,2.31
2001,1339.4009,609.6927,219.8418,476.0445,272.06,243.9738,28.0862,196.2131,0.3853,509.8664,533.495,-23.6286,0.3807,1271.85,715.93,3299.94,0.6396,3.51,14.65,2.33
2002,1470.5577,660.4718,236.3249,531.6572,333.0023,295.6196,37.3827,225.9202,0.4275,573.761,584.1656,-10.4047,0.3902,1280.4,725.94,3712.44,0.6652,3.61,15.36,2.35
2003,1660.2805,709.069,254.2588,657.8053,447.9583,412.1371,35.8211,259.1317,0.518,696.9527,692.0798,4.8729,0.4198,1288.4,735.68,4312.43,0.7061,3.49,15.61,2.36
2004,1955.3468,794.084,285.9762,818.2578,607.3569,556.1826,51.1744,315.1119,0.5951,875.2866,846.1509,29.1357,0.4476,1296.08,744.94,5174.91,0.7717,3.48,16.12,2.38
2005,2285.9611,904.9407,338.2688,922.2973,773.339,648.7122,124.6268,379.6529,0.6221,1042.7517,1001.3676,41.3841,0.4562,1303.72,754.47,6093.65,0.8424,4.55,16.61,2.4
2006,2752.1187,1038.9793,407.8782,1098.3799,991.7314,782.8125,208.9189,465.9343,0.6448,1305.2612,1247.205,58.0562,0.4743,1311.02,761.95,7612.37,0.9356,4.51,16.93,2.4
2007,3550.3278,1291.2374,519.298,1437.2505,1258.0568,950.0208,308.036,636.3903,0.6219,1739.7924,1622.7001,117.0923,0.49,1317.88,766.49,10209.2,1.0871,4.4,17.92,2.41
2008,4594.3368,1621.2441,665.5179,1941.9814,1497.8688,1149.0362,348.8325,1016.8549,0.5761,2307.5748,1956.2378,351.337,0.5023,1324.65,769.78,13874.76,1.2629,3.73,22.13,2.42
2009,5101.6911,1802.2895,752.6513,2313.9351,1262.6642,1042.5338,220.1304,1198.9501,0.4518,2546.7503,2100.4515,446.2988,0.4992,1331.26,772.14,16143.47,1.3269,2.57,23.5,2.43
2010,6087.1917,2089.5102,887.9399,2833.9624,1654.8233,1432.4224,222.4009,1479.7182,0.5072,3109.7416,2517.9633,591.7783,0.5109,1337.7,773.87,19349.67,1.4842,4,24.31,2.44
2011,7551.5457,2637.0321,1150.7699,3523.5604,2006.309,1825.4136,180.8953,2005.0027,0.5074,3763.7437,2909.5109,854.2329,0.4984,1345.04,778.28,25312.07,1.6591,3.71,26.55,2.48
2012,8532.1854,3019.2448,1344.3378,3944.0254,2175.0693,1943.2052,231.864,2337.5711,0.4827,4168.6028,3175.3695,993.2333,0.4886,1354.19,779.02,29736.99,1.7612,2.83,27.4,2.51
2013,9570.4711,3429.3995,1520.1752,4440.598,2354.2645,2119.3924,234.8721,2610.9064,0.4674,4620.8965,3530.1653,1090.7312,0.4828,1363.24,779.25,36336.88,1.8281,3.04,27.28,2.55
2014,10475.6249,3845.3818,1656.9343,4800.3454,2462.8258,2241.2762,221.5496,2905.9436,0.4491,4973.3089,3724.2996,1249.0093,0.4748,1371.86,780.37,42749.27,1.8839,2.56,27.74,2.57
2015,11061.5726,4178.2882,1793.9533,4782.4495,2362.0971,2003.2607,358.8364,3153.8381,0.3946,5089.3311,3729.4463,1359.8848,0.4601,1379.86,781.08,47464.81,1.9051,2.19,28.51,2.6
2016,11233.3137,4344.4821,1838.192,4788.9163,2199.9749,1944.4905,255.4843,3186.4016,0.3689,5050.6397,3702.43,1348.2096,0.4496,1387.79,780.93,51749.11,1.8704,1.56,28.37,2.62
2017,12310.4913,4744.8014,2009.6707,5295.1482,2424.2161,2208.5189,215.6971,3530.0743,0.3763,5556.0192,4035.6156,1520.4036,0.4513,1396.21,779.17,59061.49,1.9495,1.35,28.68,2.65
2018,13894.9079,5352.5798,2297.6353,6085.063,2655.6092,2564.1219,91.4873,3951.7717,0.3757,6244.6927,4590.5564,1654.1363,0.4494,1402.76,776.87,72551.88,2.0483,1.69,28.44,2.67
2019,14279.9685,5604.6109,2394.8237,6176.2443,2628.9411,2496.1533,132.7878,3941.9158,0.3589,6280.5339,4733.4418,1547.0921,0.4398,1407.74,775.93,78542.4,2.0366,1.31,27.6,2.7
2020,14687.7442,5610.7642,2516.0302,6369.5862,2729.8846,2374.7375,355.1471,3712.3458,0.3475,6560.9498,5364.6342,1196.3157,0.4467,1411.1,763.83,80895.99,2.0721,1.72,25.28,2.7469
2021,17820.4595,6792.0125,2817.0829,7687.7995,3554.1078,3093.2784,460.8294,4634.9597,0.373,8211.3641,6393.4873,1817.8768,0.4608,1412.36,781.19,83510.95,2.4355,1.93,26.01,2.7724
2022,17881.7827,6686.3224,2870.049,7715.3191,3717.8878,3140.0409,577.847,4528.119,0.3835,8325.4114,6667.3413,1658.07,0.4656,1412.17,770.11,86397.08,2.4247,1.06,25.32,2.7978
2023,17794.783,6962.836,2937.7961,7487.8581,3513.2369,3127.2016,386.0353,4631.2119,0.3732,7894.1509,6200.7352,1693.4158,0.4436,1410.71,774.61,89565.08,2.3606,0.24,26.03,2.8233
2024,18505.4579,7277.0805,3049.3865,7728.9757,3497.136,3211.8473,285.2887,4738.1853,0.3625,8178.9909,6490.1921,1688.7988,0.442,1521.25,773.13,93026.58,2.4127,0.1518,25.6,2.8487
2025,19205.4384,7587.5579,3158.4831,7963.1318,3499.9253,3155.3294,344.5959,4816.5697,0.3465,8459.3974,6801.3108,1658.0866,0.4405,1533.93,813.85,96794.18,2.3738,0.096,25.08,2.8742
